ID #;dialog
100001;I should have known that you would be here...Professor McGonagall.
100002;Good evening, Professor Dumbledore. Are the rumours true, Albus?
100003;I'm afraid so, Professor. The good, and the bad.
100004;And the boy?
100005;Hagrid is bringing him.
100006;Do you think it wise to trust Hagrid with something as important as this?
100007;Ah, Professor, I would trust Hagrid with my life.
100008;Professor Dumbledore, Sir. Professor McGonagall.
100009;No problems, I trust, Hagrid?
100010;No, sir. Little tyke fell asleep just as we were flying over Bristol. Heh. Try not to wake him. There you go.
100011;Albus, do you really think it's safe, leaving him with these people? I've watched them all day. They're the worst sort of Muggles imaginable. They really are...
100012;The only family he has.
100013;This boy will be famous. There won't be a child in our world who doesn't know his name.
100014;Exactly. He's better off growing up away from all that. Until he is ready.
100015;There, there, Hagrid. It's not really goodbye, after all.
100016;Good luck...Harry Potter.
100017;Up. Get up.  Now!
100018;Wake up, cousin! We're going to the zoo!
100019;Oh, here he comes, the birthday boy!
100020;Happy birthday, son.
100021;Why don't you just cook the breakfast, and try not to burn anything.
100022;Yes, Aunt Petunia.
100023;I want everything to be perfect for my Dudley's special day.
100024;Hurry up! Bring my coffee, boy!
100025;Yes, Uncle Vernon.
100026;Aren’t they wonderful, darling?
100027;How many are there?
100028;Thirty-six. Counted 'em myself.
100029;Thirty-six?! But last year last year I had thirty-seven!!
100030;Err yes, well, some of them are quite a bit bigger than last year.
100031;I don't care how big they are!
100032;Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?
100033;This will be a lovely day at the zoo. I'm really looking forward to it.
100034;I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.
100035;Make it move.
100036;Move!
100037;MOVE!
100038;He's asleep!
100039;He's boring.
100040;Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.
100041;Mummy, dad, come here! You won't believe what this snake is doing!
100042;Whoa! Ahh! Ahh!!
100043;Thanks.
100044;Anytime.
100045;SNAKE!
100046;Mum, mummy!
100047;AHH!
100048;Mum, help! Help me!
100049;My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!
100050;It's all right. It's all right.
100051;Ow!
100052;What happened?!
100053;I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!
100054;There's no such thing as magic!
100055;Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.
100056;Caveat Smeltona. Proudest moment of my life.
100057;Will I have to wear that, too?
100058;What, you? Go to Smeltings?
100059;Ha!
100060;Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.
100061;But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.
