ID#;dialog
700001;These are dark times, there is no denying.  Our world has perhaps faced no greater threat than it does today.  But I say this to our citizenry:  we, ever your servants, continue to defend your liberty and repel the forces that would seek to take it from you. Your Ministry remains strong...
700002;Hermione.  Your tea is ready, dear.
700003;Coming, Mum.
700004;Don't you look lovely.  All packed?
700005;Are you sure these biscuits are sugar-free?
700006;Quite sure, dear.  See the big bold letters that say 'Sugar Free'?  Dead giveaway.
700007;Mm.  Yes. Hello, kitten.  Don't you look lovely.
700008;Darling, don't be suspicious the biscuits taste so good, be grateful the company's so clever...
700009;Obliviate.
700010;Goodbye.
700011;What are those?
700012;Close the door.
700013;These are for the Order.  So many are on the run now, it helps them to stay connected with the rest of us.  Know they're not alone...
700014;C'mon.  Mum's got dinner ready.
700015;Severus.  I was beginning to worry you'd lost your way.  Come.  I've saved you a seat.
700016;You know our hosts, of course, Severus.  Narcissa in particular has been most hospitable.  Lucius, on the other hand, is, I fear, burdened by my presence.  Are you, Lucius?
700017;My lord?
700018;Are you burdened?
700019;My lord is always welcome here.
700020;You bring news I trust, Severus?
700021;It will happen Saturday next.  At nightfall.
700022;And this information comes --
700023;-- from the source we discussed.
700024;I have heard differently, my lord. Dawlish, the Auror, let slip that the Potter boy will not be moved until the thirtieth of this month, the night before he turns seventeen.
700025;This is a false trail.  The Auror Office no longer plays any part in the protection of Harry Potter. Those closest to him believe we have infiltrated the Ministry.
700026;Well, they've got that right, then, 'aven't they?
700027;Pius, what say you?
700028;One hears many things, my lord. Whether the truth is among them is not clear.
700029;Spoken like a true politician. You will, I think, prove most useful, Pius.  Where will he be taken?  The boy?
700030;To a safehouse.  Likely the home of someone in the Order.  I'm told it has been given every manner of protection possible. Once there, it will be impractical to attack him.  We may have compromised the Ministry, but there are those who remain loyal to him.  As long as the Ministry stands, his allies within will have the means at their disposal to insure his safety.
700031;My lord, if I might, I'd like to volunteer myself for this task. I'd like to kill the boy.
700032;Wormtail!  Have I not spoken to you about keeping our guest quiet?
700033;Yes, m-my lord.  Right away, my lord.
700034;As inspiring as I find your bloodlust, Bellatrix, I must be the one to kill Harry Potter.  But I face an unfortunate complication.  It has recently come to my attention that my wand and Potter's share the same core. They are, in some ways, twins.  We can wound but not fatally harm one another.  Which means, if I am to kill him... I will have to do it with another's wand.
700035;Come now.  Surely one of you would like the honor?  What about... you, Lucius?
700036;I require your wand.
700037;Do I detect elm?
700038;Yes, my lord.
700039;And the core?
700040;Dragon -- dragon heartstring.
700041;My wand?  You can't possibly think I would give you my wand.
700042;No, my lord.
700043;For those of you who do not know, we are joined tonight by Miss Charity Burbage who until recently taught at Hogwarts School of Witchcraft and Wizardry.  Her specialty was Muggle studies. It is Miss Burbage's belief that Muggles are not so different from us.
700044;She would, given her way, have us mate with them.  To her, the mixture of magical and Muggle blood is not an abomination but something to be encouraged.  I, of course, take a contrary view.  But we're all civilized here.  All adults.  We can agree to disagree.
700045;Severus, please.  We're friends...
700046;Avada Kedavra!
700047;Nagini... Dinner.
700048;Come now, Dudley.  Hurry up!
700049;Time for the teary farewell.
700050;I've lived in this house twenty years.  And now -- in a single night -- I'm expected to leave.
700051;They'll torture you.  Even Dudley. If they think you know where I'm going, they'll stop at noth--
700052;You think I don't know that?  You think I don't know what they're capable of?
700053;You didn't just lose a mother that night in Godric's Hollow, you know.  I lost a sister.
700054;Do you have any?  Magic?
700055;What a cruel thing to ask.
700056;Well, this is goodbye then, boy.
700057;I don't understand.  Isn't he coming with us?
700058;Who?
700059;Harry.
700060;Absolutely not.
700061;Why?
700062;Well, because -- he doesn't want to, do you, boy?
700063;Absolutely not.  Besides, I'm just a waste of space.  Isn't that right, Vernon?
700064;Come on, Dudley, we're off.
700065;I don't think you're a waste of space.
700066;Well... thanks.
700067;See you, Big D.
700068;Good riddance.
700069;All righ', 'arry?  Yeh look fit.
700070;Yeah, he's ruddy gorgeous.  What say we get undercover before someone murders him.
700071;I thought you were looking after the Prime Minister, Kingsley.
700072;You're more important.
700073;Hello, Harry.  Bill Weasley.
700074;Wasn't always this handsome.
700075;Dead ugly.
700076;True enough.  Owe it all to a werewolf by name of Greyback. Hope to repay the favor one day.
700077;You are still beautiful to me, William.
700078;Just remember, Fleur, once you're married:  Bill takes his steaks on the raw side now.
700079;My husband, the joker.  By the way, wait until you hear the news! Remus and I are --
700080;All right, all right!  You'll all have time for a cozy catch-up later!  We've got to get the hell out of here and soon!
700081;Potter, you're underage, which means you've still got the Trace on you.
700082;The Trace?
700083;You sneeze and the Ministry will know who wipes your nose.  Point is, we have to use those means of transport the Trace can't detect: brooms, thestrals and the like. We'll go in pairs.  That way if anyone's out there waiting for us -- and I reckon there will be -- they won't know which Harry Potter is the real one.
700084;The real one...?
700085;I believe you're familiar with this particular brew.
700086;No!  Absolutely not!
700087;I told you he'd take it well.
700088;If you think I'm going to let people risk their lives for me --
700089;Never done that before, have we?
700090;This is different.  Taking that. Becoming me -- no.
700091;Well, none of us really fancy it, mate.
700092;Yeah, imagine if something went wrong and we were stuck as scrawny, specky gits forever.
